                 w _Jv_RegisterClasses
                 w __deregister_frame_info
                 w __pthread_initialize_minimal
                 w __register_frame_info
000000000051496c D hacks4
0000000000514970 D axis_bp
0000000000514980 D UserAgents
0000000000514aa0 D KHserverHACKER
0000000000514aa4 D userID
0000000000514aa8 d c
0000000000514aac d i.4822
0000000000514ab0 D table_key
0000000000514ab8 D __C_ctype_b
0000000000514ab8 D __GI___C_ctype_b
0000000000514ac0 D __GI___ctype_b
0000000000514ac0 D __ctype_b
0000000000514ac8 D __C_ctype_toupper
0000000000514ac8 D __GI___C_ctype_toupper
0000000000514ad0 D __GI___ctype_toupper
0000000000514ad0 D __ctype_toupper
0000000000514ae0 D stdin
0000000000514ae8 D stdout
0000000000514af0 D stderr
0000000000514af8 D __stdin
0000000000514b00 D __stdout
0000000000514b08 D _stdio_openlist
0000000000514b20 D _stdio_openlist_add_lock
0000000000514b60 D _stdio_openlist_del_lock
0000000000514b88 D _stdio_user_locking
0000000000514ba0 d _stdio_streams
0000000000514d20 D __malloc_lock
0000000000514d60 d mylock
0000000000514da0 d mylock
0000000000514de0 d unsafe_state
0000000000514e20 d randtbl
0000000000514ea0 D __atexit_lock
0000000000514ec8 D __uclibc_progname
0000000000514ed0 d static_id
0000000000514ee0 D __resolv_lock
0000000000514f08 D __C_ctype_tolower
0000000000514f08 D __GI___C_ctype_tolower
0000000000514f10 D __GI___ctype_tolower
0000000000514f10 D __ctype_tolower
0000000000514f18 A __bss_start
0000000000514f18 A _edata
0000000000514f20 b completed.2761
0000000000514f40 b object.2814
0000000000514f80 B KHcommSOCK
0000000000514f84 B watchdog_pid
0000000000514f88 B numpids
0000000000514f90 B killer_status
0000000000514f94 B macAddress
0000000000514fa0 b Q
0000000000518fa0 b fdopen_pids
0000000000518fa8 b x
0000000000518fac b y
0000000000518fb0 b z
0000000000518fb4 b w
0000000000518fc0 B _stdio_openlist_use_count
0000000000518fc4 B _stdio_openlist_del_count
0000000000518fe0 b _fixed_buffers
000000000051afe0 b next_start.1440
000000000051b000 b buf.5285
000000000051b200 b h.5284
000000000051b220 b been_there_done_that
000000000051b228 B __exit_cleanup
000000000051b230 B __libc_stack_end
000000000051b238 B __environ
000000000051b238 V environ
000000000051b240 B __pagesize
000000000051b248 B __app_fini
000000000051b250 B __rtld_fini
000000000051b258 b been_there_done_that.3160
000000000051b25c B __GI_errno
000000000051b25c V _errno
000000000051b25c B errno
000000000051b260 B __GI_h_errno
000000000051b260 V _h_errno
000000000051b260 B h_errno
000000000051b280 b mylock
000000000051b2a8 b static_ns
000000000051b2b0 B __curbrk
000000000051b2b8 B LOCAL_ADDR
000000000051b2c0 B ourIP
000000000051b2c4 B ngPid
000000000051b2c8 B scanPid
000000000051b2d0 B pids
000000000051b2e0 B table
000000000051b4c0 B _sigintr
000000000051b540 B __malloc_state
000000000051bc20 B __searchdomain
000000000051bc40 B __nameserver
000000000051bc58 B __nameservers
000000000051bc5c B __searchdomains
000000000051bc60 B _dl_phdr
000000000051bc68 B _dl_phnum
000000000051bc70 A _end
